ID	Target	Stance	Dataset
60	Hillary Clinton	AGAINST	semevala
61	Hillary Clinton	NONE	semevala
62	Hillary Clinton	NONE	semevala
63	Hillary Clinton	AGAINST	semevala
64	Hillary Clinton	NONE	semevala
65	Hillary Clinton	NONE	semevala
66	Hillary Clinton	NONE	semevala
67	Hillary Clinton	AGAINST	semevala
68	Hillary Clinton	FAVOR	semevala
69	Hillary Clinton	NONE	semevala
70	Hillary Clinton	NONE	semevala
71	Hillary Clinton	NONE	semevala
72	Hillary Clinton	FAVOR	semevala
73	Hillary Clinton	NONE	semevala
74	Hillary Clinton	NONE	semevala
75	Hillary Clinton	NONE	semevala
76	Hillary Clinton	NONE	semevala
77	Hillary Clinton	NONE	semevala
78	Hillary Clinton	FAVOR	semevala
79	Hillary Clinton	AGAINST	semevala
80	Hillary Clinton	NONE	semevala
81	Hillary Clinton	FAVOR	semevala
82	Hillary Clinton	NONE	semevala
83	Hillary Clinton	NONE	semevala
84	Hillary Clinton	FAVOR	semevala
85	Hillary Clinton	FAVOR	semevala
86	Hillary Clinton	FAVOR	semevala
87	Hillary Clinton	NONE	semevala
88	Hillary Clinton	FAVOR	semevala
89	Hillary Clinton	AGAINST	semevala
90	Hillary Clinton	NONE	semevala
91	Hillary Clinton	FAVOR	semevala
92	Hillary Clinton	NONE	semevala
93	Hillary Clinton	AGAINST	semevala
94	Hillary Clinton	NONE	semevala
95	Hillary Clinton	FAVOR	semevala
96	Hillary Clinton	FAVOR	semevala
97	Hillary Clinton	AGAINST	semevala
98	Hillary Clinton	FAVOR	semevala
99	Hillary Clinton	FAVOR	semevala
100	Hillary Clinton	AGAINST	semevala
101	Hillary Clinton	FAVOR	semevala
102	Hillary Clinton	FAVOR	semevala
103	Hillary Clinton	NONE	semevala
104	Hillary Clinton	NONE	semevala
105	Hillary Clinton	NONE	semevala
106	Hillary Clinton	AGAINST	semevala
107	Hillary Clinton	FAVOR	semevala
108	Hillary Clinton	NONE	semevala
109	Hillary Clinton	FAVOR	semevala
110	Hillary Clinton	AGAINST	semevala
111	Hillary Clinton	NONE	semevala
112	Hillary Clinton	NONE	semevala
113	Hillary Clinton	AGAINST	semevala
114	Hillary Clinton	FAVOR	semevala
115	Hillary Clinton	AGAINST	semevala
116	Hillary Clinton	FAVOR	semevala
117	Hillary Clinton	AGAINST	semevala
118	Hillary Clinton	AGAINST	semevala
119	Hillary Clinton	AGAINST	semevala
120	Hillary Clinton	FAVOR	semevala
121	Hillary Clinton	AGAINST	semevala
122	Hillary Clinton	AGAINST	semevala
123	Hillary Clinton	AGAINST	semevala
124	Hillary Clinton	AGAINST	semevala
125	Hillary Clinton	NONE	semevala
126	Hillary Clinton	AGAINST	semevala
127	Hillary Clinton	FAVOR	semevala
128	Hillary Clinton	NONE	semevala
129	Hillary Clinton	FAVOR	semevala
130	Hillary Clinton	AGAINST	semevala
131	Hillary Clinton	FAVOR	semevala
132	Hillary Clinton	AGAINST	semevala
133	Hillary Clinton	AGAINST	semevala
134	Hillary Clinton	NONE	semevala
135	Hillary Clinton	FAVOR	semevala
136	Hillary Clinton	NONE	semevala
137	Hillary Clinton	NONE	semevala
138	Hillary Clinton	NONE	semevala
139	Hillary Clinton	AGAINST	semevala
140	Hillary Clinton	NONE	semevala
141	Hillary Clinton	AGAINST	semevala
142	Hillary Clinton	AGAINST	semevala
143	Hillary Clinton	AGAINST	semevala
144	Hillary Clinton	FAVOR	semevala
145	Hillary Clinton	AGAINST	semevala
146	Hillary Clinton	FAVOR	semevala
147	Hillary Clinton	AGAINST	semevala
148	Hillary Clinton	NONE	semevala
149	Hillary Clinton	AGAINST	semevala
150	Hillary Clinton	AGAINST	semevala
151	Hillary Clinton	NONE	semevala
152	Hillary Clinton	AGAINST	semevala
153	Hillary Clinton	NONE	semevala
154	Hillary Clinton	NONE	semevala
155	Hillary Clinton	AGAINST	semevala
156	Hillary Clinton	FAVOR	semevala
157	Hillary Clinton	NONE	semevala
158	Hillary Clinton	AGAINST	semevala
159	Hillary Clinton	AGAINST	semevala
160	Hillary Clinton	NONE	semevala
161	Hillary Clinton	AGAINST	semevala
162	Hillary Clinton	FAVOR	semevala
163	Hillary Clinton	AGAINST	semevala
164	Hillary Clinton	FAVOR	semevala
165	Hillary Clinton	AGAINST	semevala
166	Hillary Clinton	NONE	semevala
167	Hillary Clinton	FAVOR	semevala
168	Hillary Clinton	FAVOR	semevala
169	Hillary Clinton	AGAINST	semevala
170	Hillary Clinton	AGAINST	semevala
171	Hillary Clinton	AGAINST	semevala
172	Hillary Clinton	NONE	semevala
173	Hillary Clinton	NONE	semevala
174	Hillary Clinton	AGAINST	semevala
175	Hillary Clinton	AGAINST	semevala
176	Hillary Clinton	AGAINST	semevala
177	Hillary Clinton	NONE	semevala
178	Hillary Clinton	AGAINST	semevala
179	Hillary Clinton	AGAINST	semevala
180	Hillary Clinton	AGAINST	semevala
181	Hillary Clinton	NONE	semevala
182	Hillary Clinton	NONE	semevala
183	Hillary Clinton	NONE	semevala
184	Hillary Clinton	AGAINST	semevala
185	Hillary Clinton	NONE	semevala
186	Hillary Clinton	AGAINST	semevala
187	Hillary Clinton	AGAINST	semevala
188	Hillary Clinton	AGAINST	semevala
189	Hillary Clinton	AGAINST	semevala
190	Hillary Clinton	AGAINST	semevala
191	Hillary Clinton	FAVOR	semevala
192	Hillary Clinton	FAVOR	semevala
193	Hillary Clinton	AGAINST	semevala
194	Hillary Clinton	AGAINST	semevala
195	Hillary Clinton	AGAINST	semevala
196	Hillary Clinton	NONE	semevala
197	Hillary Clinton	FAVOR	semevala
198	Hillary Clinton	NONE	semevala
199	Hillary Clinton	AGAINST	semevala
200	Hillary Clinton	NONE	semevala
201	Hillary Clinton	AGAINST	semevala
202	Hillary Clinton	AGAINST	semevala
203	Hillary Clinton	AGAINST	semevala
204	Hillary Clinton	AGAINST	semevala
205	Hillary Clinton	NONE	semevala
206	Hillary Clinton	AGAINST	semevala
207	Hillary Clinton	NONE	semevala
208	Hillary Clinton	AGAINST	semevala
209	Hillary Clinton	AGAINST	semevala
210	Hillary Clinton	AGAINST	semevala
211	Hillary Clinton	AGAINST	semevala
212	Hillary Clinton	AGAINST	semevala
213	Hillary Clinton	NONE	semevala
214	Hillary Clinton	NONE	semevala
215	Hillary Clinton	FAVOR	semevala
216	Hillary Clinton	NONE	semevala
217	Hillary Clinton	AGAINST	semevala
218	Hillary Clinton	AGAINST	semevala
219	Hillary Clinton	NONE	semevala
220	Hillary Clinton	AGAINST	semevala
221	Hillary Clinton	AGAINST	semevala
222	Hillary Clinton	FAVOR	semevala
223	Hillary Clinton	AGAINST	semevala
224	Hillary Clinton	AGAINST	semevala
225	Hillary Clinton	FAVOR	semevala
226	Hillary Clinton	FAVOR	semevala
227	Hillary Clinton	AGAINST	semevala
228	Hillary Clinton	AGAINST	semevala
229	Hillary Clinton	FAVOR	semevala
230	Hillary Clinton	NONE	semevala
231	Hillary Clinton	AGAINST	semevala
232	Hillary Clinton	AGAINST	semevala
233	Hillary Clinton	AGAINST	semevala
234	Hillary Clinton	AGAINST	semevala
235	Hillary Clinton	AGAINST	semevala
236	Hillary Clinton	AGAINST	semevala
237	Hillary Clinton	AGAINST	semevala
238	Hillary Clinton	AGAINST	semevala
239	Hillary Clinton	AGAINST	semevala
240	Hillary Clinton	AGAINST	semevala
241	Hillary Clinton	AGAINST	semevala
242	Hillary Clinton	AGAINST	semevala
243	Hillary Clinton	AGAINST	semevala
244	Hillary Clinton	AGAINST	semevala
245	Hillary Clinton	AGAINST	semevala
246	Hillary Clinton	AGAINST	semevala
247	Hillary Clinton	FAVOR	semevala
248	Hillary Clinton	AGAINST	semevala
249	Hillary Clinton	AGAINST	semevala
250	Hillary Clinton	AGAINST	semevala
251	Hillary Clinton	AGAINST	semevala
252	Hillary Clinton	AGAINST	semevala
253	Hillary Clinton	AGAINST	semevala
254	Hillary Clinton	AGAINST	semevala
255	Hillary Clinton	AGAINST	semevala
256	Hillary Clinton	AGAINST	semevala
257	Hillary Clinton	AGAINST	semevala
258	Hillary Clinton	FAVOR	semevala
259	Hillary Clinton	AGAINST	semevala
260	Hillary Clinton	AGAINST	semevala
261	Hillary Clinton	FAVOR	semevala
262	Hillary Clinton	AGAINST	semevala
263	Hillary Clinton	AGAINST	semevala
264	Hillary Clinton	AGAINST	semevala
265	Hillary Clinton	AGAINST	semevala
266	Hillary Clinton	AGAINST	semevala
267	Hillary Clinton	AGAINST	semevala
268	Hillary Clinton	AGAINST	semevala
269	Hillary Clinton	NONE	semevala
270	Hillary Clinton	NONE	semevala
271	Hillary Clinton	NONE	semevala
272	Hillary Clinton	NONE	semevala
273	Hillary Clinton	AGAINST	semevala
274	Hillary Clinton	AGAINST	semevala
275	Hillary Clinton	NONE	semevala
276	Hillary Clinton	AGAINST	semevala
277	Hillary Clinton	NONE	semevala
278	Hillary Clinton	FAVOR	semevala
279	Hillary Clinton	AGAINST	semevala
280	Hillary Clinton	AGAINST	semevala
281	Hillary Clinton	NONE	semevala
282	Hillary Clinton	AGAINST	semevala
283	Hillary Clinton	NONE	semevala
284	Hillary Clinton	AGAINST	semevala
285	Hillary Clinton	AGAINST	semevala
286	Hillary Clinton	AGAINST	semevala
287	Hillary Clinton	NONE	semevala
288	Hillary Clinton	NONE	semevala
289	Hillary Clinton	AGAINST	semevala
290	Hillary Clinton	FAVOR	semevala
291	Hillary Clinton	NONE	semevala
292	Hillary Clinton	FAVOR	semevala
293	Hillary Clinton	AGAINST	semevala
294	Hillary Clinton	NONE	semevala
295	Donald Trump	NONE	semevalb
296	Donald Trump	NONE	semevalb
297	Donald Trump	NONE	semevalb
298	Donald Trump	AGAINST	semevalb
299	Donald Trump	NONE	semevalb
300	Donald Trump	FAVOR	semevalb
301	Donald Trump	FAVOR	semevalb
302	Donald Trump	NONE	semevalb
303	Donald Trump	NONE	semevalb
304	Donald Trump	NONE	semevalb
305	Donald Trump	FAVOR	semevalb
306	Donald Trump	NONE	semevalb
307	Donald Trump	FAVOR	semevalb
308	Donald Trump	NONE	semevalb
309	Donald Trump	NONE	semevalb
310	Donald Trump	NONE	semevalb
311	Donald Trump	FAVOR	semevalb
312	Donald Trump	FAVOR	semevalb
313	Donald Trump	NONE	semevalb
314	Donald Trump	AGAINST	semevalb
315	Donald Trump	NONE	semevalb
316	Donald Trump	AGAINST	semevalb
317	Donald Trump	NONE	semevalb
318	Donald Trump	AGAINST	semevalb
319	Donald Trump	NONE	semevalb
320	Donald Trump	AGAINST	semevalb
321	Donald Trump	FAVOR	semevalb
322	Donald Trump	NONE	semevalb
323	Donald Trump	AGAINST	semevalb
324	Donald Trump	NONE	semevalb
325	Donald Trump	NONE	semevalb
326	Donald Trump	AGAINST	semevalb
327	Donald Trump	NONE	semevalb
328	Donald Trump	AGAINST	semevalb
329	Donald Trump	NONE	semevalb
330	Donald Trump	NONE	semevalb
331	Donald Trump	NONE	semevalb
332	Donald Trump	NONE	semevalb
333	Donald Trump	NONE	semevalb
334	Donald Trump	NONE	semevalb
335	Donald Trump	NONE	semevalb
336	Donald Trump	NONE	semevalb
337	Donald Trump	NONE	semevalb
338	Donald Trump	NONE	semevalb
339	Donald Trump	NONE	semevalb
340	Donald Trump	NONE	semevalb
341	Donald Trump	NONE	semevalb
342	Donald Trump	NONE	semevalb
343	Donald Trump	NONE	semevalb
344	Donald Trump	NONE	semevalb
345	Donald Trump	NONE	semevalb
346	Donald Trump	FAVOR	semevalb
347	Donald Trump	NONE	semevalb
348	Donald Trump	NONE	semevalb
349	Donald Trump	NONE	semevalb
350	Donald Trump	FAVOR	semevalb
351	Donald Trump	FAVOR	semevalb
352	Donald Trump	NONE	semevalb
353	Donald Trump	NONE	semevalb
354	Donald Trump	AGAINST	semevalb
355	Donald Trump	AGAINST	semevalb
356	Donald Trump	NONE	semevalb
357	Donald Trump	NONE	semevalb
358	Donald Trump	NONE	semevalb
359	Donald Trump	NONE	semevalb
360	Donald Trump	AGAINST	semevalb
361	Donald Trump	NONE	semevalb
362	Donald Trump	NONE	semevalb
363	Donald Trump	NONE	semevalb
364	Donald Trump	AGAINST	semevalb
365	Donald Trump	NONE	semevalb
366	Donald Trump	NONE	semevalb
367	Donald Trump	NONE	semevalb
368	Donald Trump	NONE	semevalb
369	Donald Trump	NONE	semevalb
370	Donald Trump	NONE	semevalb
371	Donald Trump	NONE	semevalb
372	Donald Trump	NONE	semevalb
373	Donald Trump	NONE	semevalb
374	Donald Trump	NONE	semevalb
375	Donald Trump	NONE	semevalb
376	Donald Trump	NONE	semevalb
377	Donald Trump	NONE	semevalb
378	Donald Trump	NONE	semevalb
379	Donald Trump	NONE	semevalb
380	Donald Trump	NONE	semevalb
381	Donald Trump	NONE	semevalb
382	Donald Trump	NONE	semevalb
383	Donald Trump	NONE	semevalb
384	Donald Trump	NONE	semevalb
385	Donald Trump	NONE	semevalb
386	Donald Trump	NONE	semevalb
387	Donald Trump	NONE	semevalb
388	Donald Trump	NONE	semevalb
389	Donald Trump	NONE	semevalb
390	Donald Trump	NONE	semevalb
391	Donald Trump	NONE	semevalb
392	Donald Trump	NONE	semevalb
393	Donald Trump	NONE	semevalb
394	Donald Trump	NONE	semevalb
395	Donald Trump	NONE	semevalb
396	Donald Trump	NONE	semevalb
397	Donald Trump	FAVOR	semevalb
398	Donald Trump	NONE	semevalb
399	Donald Trump	FAVOR	semevalb
400	Donald Trump	FAVOR	semevalb
401	Donald Trump	NONE	semevalb
402	Donald Trump	NONE	semevalb
403	Donald Trump	AGAINST	semevalb
404	Donald Trump	NONE	semevalb
405	Donald Trump	FAVOR	semevalb
406	Donald Trump	NONE	semevalb
407	Donald Trump	NONE	semevalb
408	Donald Trump	FAVOR	semevalb
409	Donald Trump	FAVOR	semevalb
410	Donald Trump	FAVOR	semevalb
411	Donald Trump	NONE	semevalb
412	Donald Trump	NONE	semevalb
413	Donald Trump	AGAINST	semevalb
414	Donald Trump	AGAINST	semevalb
415	Donald Trump	NONE	semevalb
416	Donald Trump	FAVOR	semevalb
417	Donald Trump	NONE	semevalb
418	Donald Trump	NONE	semevalb
419	Donald Trump	NONE	semevalb
420	Donald Trump	NONE	semevalb
421	Donald Trump	FAVOR	semevalb
422	Donald Trump	NONE	semevalb
423	Donald Trump	NONE	semevalb
424	Donald Trump	NONE	semevalb
425	Donald Trump	NONE	semevalb
426	Donald Trump	NONE	semevalb
427	Donald Trump	FAVOR	semevalb
428	Donald Trump	FAVOR	semevalb
429	Donald Trump	NONE	semevalb
430	Donald Trump	FAVOR	semevalb
431	Donald Trump	NONE	semevalb
432	Donald Trump	FAVOR	semevalb
433	Donald Trump	NONE	semevalb
434	Donald Trump	NONE	semevalb
435	Donald Trump	NONE	semevalb
436	Donald Trump	AGAINST	semevalb
437	Donald Trump	FAVOR	semevalb
438	Donald Trump	NONE	semevalb
439	Donald Trump	NONE	semevalb
440	Donald Trump	FAVOR	semevalb
441	Donald Trump	NONE	semevalb
442	Donald Trump	NONE	semevalb
443	Donald Trump	AGAINST	semevalb
444	Donald Trump	FAVOR	semevalb
445	Donald Trump	NONE	semevalb
446	Donald Trump	NONE	semevalb
447	Donald Trump	FAVOR	semevalb
448	Donald Trump	FAVOR	semevalb
449	Donald Trump	NONE	semevalb
450	Donald Trump	NONE	semevalb
451	Donald Trump	FAVOR	semevalb
452	Donald Trump	NONE	semevalb
453	Donald Trump	FAVOR	semevalb
454	Donald Trump	NONE	semevalb
455	Donald Trump	NONE	semevalb
456	Donald Trump	NONE	semevalb
457	Donald Trump	NONE	semevalb
458	Donald Trump	FAVOR	semevalb
459	Donald Trump	NONE	semevalb
460	Donald Trump	AGAINST	semevalb
461	Donald Trump	AGAINST	semevalb
462	Donald Trump	AGAINST	semevalb
463	Donald Trump	AGAINST	semevalb
464	Donald Trump	AGAINST	semevalb
465	Donald Trump	NONE	semevalb
466	Donald Trump	AGAINST	semevalb
467	Donald Trump	NONE	semevalb
468	Donald Trump	FAVOR	semevalb
469	Donald Trump	AGAINST	semevalb
470	Donald Trump	FAVOR	semevalb
471	Donald Trump	FAVOR	semevalb
472	Donald Trump	AGAINST	semevalb
473	Donald Trump	FAVOR	semevalb
474	Donald Trump	NONE	semevalb
475	Donald Trump	NONE	semevalb
476	Donald Trump	AGAINST	semevalb
477	Donald Trump	AGAINST	semevalb
478	Donald Trump	AGAINST	semevalb
479	Donald Trump	FAVOR	semevalb
480	Donald Trump	AGAINST	semevalb
481	Donald Trump	NONE	semevalb
482	Donald Trump	AGAINST	semevalb
483	Donald Trump	AGAINST	semevalb
484	Donald Trump	FAVOR	semevalb
485	Donald Trump	NONE	semevalb
486	Donald Trump	FAVOR	semevalb
487	Donald Trump	AGAINST	semevalb
488	Donald Trump	NONE	semevalb
489	Donald Trump	NONE	semevalb
490	Donald Trump	NONE	semevalb
491	Donald Trump	AGAINST	semevalb
492	Donald Trump	FAVOR	semevalb
493	Donald Trump	NONE	semevalb
494	Donald Trump	NONE	semevalb
495	Donald Trump	AGAINST	semevalb
496	Donald Trump	AGAINST	semevalb
497	Donald Trump	NONE	semevalb
498	Donald Trump	AGAINST	semevalb
499	Donald Trump	NONE	semevalb
500	Donald Trump	NONE	semevalb
501	Donald Trump	NONE	semevalb
502	Donald Trump	FAVOR	semevalb
503	Donald Trump	AGAINST	semevalb
504	Donald Trump	NONE	semevalb
505	Donald Trump	FAVOR	semevalb
506	Donald Trump	NONE	semevalb
507	Donald Trump	AGAINST	semevalb
508	Donald Trump	NONE	semevalb
509	Donald Trump	AGAINST	semevalb
510	Donald Trump	AGAINST	semevalb
511	Donald Trump	FAVOR	semevalb
512	Donald Trump	NONE	semevalb
513	Donald Trump	AGAINST	semevalb
514	Donald Trump	NONE	semevalb
515	Donald Trump	AGAINST	semevalb
516	Donald Trump	AGAINST	semevalb
517	Donald Trump	AGAINST	semevalb
518	Donald Trump	AGAINST	semevalb
519	Donald Trump	AGAINST	semevalb
520	Donald Trump	AGAINST	semevalb
521	Donald Trump	AGAINST	semevalb
522	Donald Trump	AGAINST	semevalb
523	Donald Trump	AGAINST	semevalb
524	Donald Trump	AGAINST	semevalb
525	Donald Trump	AGAINST	semevalb
526	Donald Trump	AGAINST	semevalb
527	Donald Trump	AGAINST	semevalb
528	Donald Trump	AGAINST	semevalb
529	Donald Trump	AGAINST	semevalb
530	Donald Trump	AGAINST	semevalb
531	Donald Trump	AGAINST	semevalb
532	Donald Trump	AGAINST	semevalb
533	Donald Trump	AGAINST	semevalb
534	Donald Trump	AGAINST	semevalb
535	Donald Trump	AGAINST	semevalb
536	Donald Trump	AGAINST	semevalb
537	Donald Trump	AGAINST	semevalb
538	Donald Trump	AGAINST	semevalb
539	Donald Trump	AGAINST	semevalb
540	Donald Trump	AGAINST	semevalb
541	Donald Trump	AGAINST	semevalb
542	Donald Trump	AGAINST	semevalb
543	Donald Trump	AGAINST	semevalb
544	Donald Trump	AGAINST	semevalb
545	Donald Trump	AGAINST	semevalb
546	Donald Trump	AGAINST	semevalb
547	Donald Trump	AGAINST	semevalb
548	Donald Trump	AGAINST	semevalb
549	Donald Trump	AGAINST	semevalb
550	Donald Trump	AGAINST	semevalb
551	Donald Trump	AGAINST	semevalb
552	Donald Trump	AGAINST	semevalb
553	Donald Trump	AGAINST	semevalb
554	Donald Trump	AGAINST	semevalb
555	Donald Trump	AGAINST	semevalb
556	Donald Trump	AGAINST	semevalb
557	Donald Trump	AGAINST	semevalb
558	Donald Trump	AGAINST	semevalb
559	Donald Trump	AGAINST	semevalb
560	Donald Trump	AGAINST	semevalb
561	Donald Trump	AGAINST	semevalb
562	Donald Trump	AGAINST	semevalb
563	Donald Trump	AGAINST	semevalb
564	Donald Trump	AGAINST	semevalb
565	Donald Trump	AGAINST	semevalb
566	Donald Trump	AGAINST	semevalb
567	Donald Trump	AGAINST	semevalb
568	Donald Trump	AGAINST	semevalb
569	Donald Trump	AGAINST	semevalb
570	Donald Trump	AGAINST	semevalb
571	Donald Trump	AGAINST	semevalb
572	Donald Trump	AGAINST	semevalb
573	Donald Trump	AGAINST	semevalb
574	Donald Trump	AGAINST	semevalb
575	Donald Trump	AGAINST	semevalb
576	Donald Trump	AGAINST	semevalb
577	Donald Trump	AGAINST	semevalb
578	Donald Trump	AGAINST	semevalb
579	Donald Trump	AGAINST	semevalb
580	Donald Trump	AGAINST	semevalb
581	Donald Trump	AGAINST	semevalb
582	Donald Trump	AGAINST	semevalb
583	Donald Trump	AGAINST	semevalb
584	Donald Trump	AGAINST	semevalb
585	Donald Trump	AGAINST	semevalb
586	Donald Trump	AGAINST	semevalb
587	Donald Trump	AGAINST	semevalb
588	Donald Trump	AGAINST	semevalb
589	Donald Trump	AGAINST	semevalb
590	Donald Trump	AGAINST	semevalb
591	Donald Trump	AGAINST	semevalb
592	Donald Trump	AGAINST	semevalb
593	Donald Trump	AGAINST	semevalb
594	Donald Trump	AGAINST	semevalb
595	Donald Trump	AGAINST	semevalb
596	Donald Trump	AGAINST	semevalb
597	Donald Trump	AGAINST	semevalb
598	Donald Trump	AGAINST	semevalb
599	Donald Trump	AGAINST	semevalb
600	Donald Trump	AGAINST	semevalb
601	Donald Trump	AGAINST	semevalb
602	Donald Trump	AGAINST	semevalb
603	Donald Trump	AGAINST	semevalb
604	Donald Trump	AGAINST	semevalb
605	Donald Trump	AGAINST	semevalb
606	Donald Trump	AGAINST	semevalb
607	Donald Trump	AGAINST	semevalb
608	Donald Trump	AGAINST	semevalb
609	Donald Trump	AGAINST	semevalb
610	Donald Trump	AGAINST	semevalb
611	Donald Trump	AGAINST	semevalb
612	Donald Trump	AGAINST	semevalb
613	Donald Trump	AGAINST	semevalb
614	Donald Trump	AGAINST	semevalb
615	Donald Trump	AGAINST	semevalb
616	Donald Trump	AGAINST	semevalb
617	Donald Trump	AGAINST	semevalb
618	Donald Trump	AGAINST	semevalb
619	Donald Trump	AGAINST	semevalb
620	Donald Trump	AGAINST	semevalb
621	Donald Trump	AGAINST	semevalb
622	Donald Trump	AGAINST	semevalb
623	Donald Trump	AGAINST	semevalb
624	Donald Trump	AGAINST	semevalb
625	Donald Trump	AGAINST	semevalb
626	Donald Trump	AGAINST	semevalb
627	Donald Trump	AGAINST	semevalb
628	Donald Trump	AGAINST	semevalb
629	Donald Trump	AGAINST	semevalb
630	Donald Trump	FAVOR	semevalb
631	Donald Trump	NONE	semevalb
632	Donald Trump	FAVOR	semevalb
633	Donald Trump	AGAINST	semevalb
634	Donald Trump	FAVOR	semevalb
635	Donald Trump	FAVOR	semevalb
636	Donald Trump	AGAINST	semevalb
637	Donald Trump	FAVOR	semevalb
638	Donald Trump	NONE	semevalb
639	Donald Trump	AGAINST	semevalb
640	Donald Trump	FAVOR	semevalb
641	Donald Trump	AGAINST	semevalb
642	Donald Trump	AGAINST	semevalb
643	Donald Trump	FAVOR	semevalb
644	Donald Trump	FAVOR	semevalb
645	Donald Trump	AGAINST	semevalb
646	Donald Trump	AGAINST	semevalb
647	Donald Trump	AGAINST	semevalb
648	Donald Trump	FAVOR	semevalb
649	Donald Trump	AGAINST	semevalb
650	Donald Trump	NONE	semevalb
651	Donald Trump	NONE	semevalb
652	Donald Trump	NONE	semevalb
653	Donald Trump	FAVOR	semevalb
654	Donald Trump	FAVOR	semevalb
655	Donald Trump	AGAINST	semevalb
656	Donald Trump	FAVOR	semevalb
657	Donald Trump	FAVOR	semevalb
658	Donald Trump	FAVOR	semevalb
659	Donald Trump	NONE	semevalb
660	Donald Trump	FAVOR	semevalb
661	Donald Trump	NONE	semevalb
662	Donald Trump	FAVOR	semevalb
663	Donald Trump	NONE	semevalb
664	Donald Trump	AGAINST	semevalb
665	Donald Trump	FAVOR	semevalb
666	Donald Trump	FAVOR	semevalb
667	Donald Trump	NONE	semevalb
668	Donald Trump	NONE	semevalb
669	Donald Trump	NONE	semevalb
670	Donald Trump	FAVOR	semevalb
671	Donald Trump	FAVOR	semevalb
672	Donald Trump	NONE	semevalb
673	Donald Trump	NONE	semevalb
674	Donald Trump	NONE	semevalb
675	Donald Trump	NONE	semevalb
676	Donald Trump	FAVOR	semevalb
677	Donald Trump	AGAINST	semevalb
678	Donald Trump	FAVOR	semevalb
679	Donald Trump	AGAINST	semevalb
680	Donald Trump	AGAINST	semevalb
681	Donald Trump	AGAINST	semevalb
682	Donald Trump	AGAINST	semevalb
683	Donald Trump	AGAINST	semevalb
684	Donald Trump	AGAINST	semevalb
685	Donald Trump	AGAINST	semevalb
686	Donald Trump	AGAINST	semevalb
687	Donald Trump	AGAINST	semevalb
688	Donald Trump	AGAINST	semevalb
689	Donald Trump	AGAINST	semevalb
690	Donald Trump	AGAINST	semevalb
691	Donald Trump	AGAINST	semevalb
692	Donald Trump	AGAINST	semevalb
693	Donald Trump	AGAINST	semevalb
694	Donald Trump	AGAINST	semevalb
695	Donald Trump	AGAINST	semevalb
696	Donald Trump	AGAINST	semevalb
697	Donald Trump	AGAINST	semevalb
698	Donald Trump	AGAINST	semevalb
699	Donald Trump	AGAINST	semevalb
700	Donald Trump	AGAINST	semevalb
701	Donald Trump	AGAINST	semevalb
702	Donald Trump	AGAINST	semevalb
703	Donald Trump	AGAINST	semevalb
704	Donald Trump	AGAINST	semevalb
705	Donald Trump	AGAINST	semevalb
